id	treenum	term
D012409	C02.782.930.700.700	Rubella
D012410	C02.782.930.700.700.700	Rubella Syndrome, Congenital
D012415	C05.116.099.370.797	Rubinstein-Taybi Syndrome
D012421	C26.761	Rupture
D012422	C23.300.909	Rupture, Spontaneous
D012465	C07.465.815.497.325	Salivary Duct Calculi
D012466	C07.465.815	Salivary Gland Diseases
D012467	C07.465.614.655	Salivary Gland Fistula
D012468	C04.588.443.591.824	Salivary Gland Neoplasms
D012478	C01.252.400.310.821.606	Salmonella Food Poisoning
D012480	C01.252.400.310.821	Salmonella Infections
D012481	C01.252.400.310.821.706	Salmonella Infections, Animal
D012488	C13.351.500.056.390.890	Salpingitis
D012497	C10.228.140.163.100.435.825.300.300.249	Sandhoff Disease
D012507	C15.604.515.827	Sarcoidosis
D012509	C04.557.450.795	Sarcoma
D012510	C04.557.450.795.830.780	Sarcoma 180
D012511	C04.557.450.795.830.760	Sarcoma 37
D012512	C04.557.450.565.575.650.800	Sarcoma, Ewing
D012513	C04.557.450.795.830	Sarcoma, Experimental
D012514	C02.256.466.860	Sarcoma, Kaposi
D012515	C04.557.450.565.465.124	Mast-Cell Sarcoma
D012516	C04.557.450.565.575.650	Osteosarcoma
D012517	C04.557.450.795.830.850	Sarcoma, Yoshida
D012523	C03.752.250.634	Sarcocystosis
D012532	C03.858.211.480.708	Scabies
D012536	C17.800.738	Scalp Dermatoses
D012541	C01.252.410.890.823	Scarlet Fever
D012544	C05.116.821.500.500	Scheuermann Disease
D012552	C03.335.865.859	Schistosomiasis
D012553	C01.539.895.775	Schistosomiasis haematobia
D012554	C03.335.865.859.521	Schistosomiasis japonica
D012555	C03.335.865.859.576	Schistosomiasis mansoni
D012585	C10.668.829.500.675.800	Sciatica
D012587	C08.381.844	Scimitar Syndrome
D012592	C17.300.550.750	Scleredema Adultorum
D012593	C16.131.831.812	Sclerema Neonatorum
D012594	C17.300.787	Scleroderma, Localized
D012595	C17.300.799	Scleroderma, Systemic
D012598	C23.550.823	Sclerosis
D012600	C05.116.900.800.875	Scoliosis
D012607	C10.597.751.941.811	Scotoma
D012608	C10.228.228.800.717	Scrapie
D012610	C03.858.211.503.744	Screw Worm Infection
D012612	C01.252.400.780.850	Scrub Typhus
D012614	C14.907.454.800	Scurvy
D012618	C10.228.140.163.100.435.825.775	Sea-Blue Histiocyte Syndrome
D012625	C17.800.794	Sebaceous Gland Diseases
D012626	C04.588.805.578	Sebaceous Gland Neoplasms
D012628	C17.800.174.580	Dermatitis, Seborrheic
D012640	C10.597.742	Seizures
D012652	C26.780	Self Mutilation
D012678	C10.597.751	Sensation Disorders
D012700	C23.550.470.646	Serositis
D012707	C04.557.475.750.847.500	Sertoli Cell Tumor
D012713	C17.800.174.600.800	Serum Sickness
D012719	C03.335.349.820	Setariasis
D012729	C23.550.210.815	Sex Chromosome Aberrations
D012734	C12.706.316	Disorders of Sex Development
D012735	C12.294.644	Sexual Dysfunction, Physiological
D012749	C01.539.778	Sexually Transmitted Diseases
D012751	C04.557.386.480.750.800.775	Sezary Syndrome
D012757	C22.836	Sheep Diseases
D012766	C01.252.400.700.675	Pasteurellosis, Pneumonic
D012769	C23.550.835	Shock
D012770	C14.280.647.500.750	Shock, Cardiogenic
D012771	C23.550.414.980	Shock, Hemorrhagic
D012772	C01.539.757.800	Shock, Septic
D012773	C23.550.767.879	Shock, Surgical
D012774	C23.550.835.888	Shock, Traumatic
D012778	C06.405.469.637.832	Short Bowel Syndrome
D012779	C05.116.099.708.857	Short Rib-Polydactyly Syndrome
D012783	C05.550.518.750	Shoulder Dislocation
D012784	C26.404.625	Shoulder Fractures
D012790	C14.907.454.810	Shwartzman Phenomenon
D012791	C10.177.575.550.750	Shy-Drager Syndrome
D012793	C07.465.815.793	Sialadenitis
D012797	C07.465.815.802	Sialometaplasia, Necrotizing
D012798	C07.465.815.815	Sialorrhea
D012804	C14.280.067.093.249	Sick Sinus Syndrome
D012805	C15.378.071.141.150.150.670	Sickle Cell Trait
D012806	C08.381.483.581.750	Siderosis
D012810	C06.405.469.158.850	Sigmoid Diseases
D012811	C04.588.274.476.411.307.180.800	Sigmoid Neoplasms
D012816	C23.888	Signs and Symptoms
D012817	C23.888.821	Signs and Symptoms, Digestive
D012818	C23.888.852	Signs and Symptoms, Respiratory
D012829	C08.381.483.581.760	Silicosis
D012830	C01.252.410.040.552.846.899.669	Silicotuberculosis
D012832	C08.381.483.125.682	Silo Filler's Disease
D012848	C14.280.067.558.750	Sinoatrial Block
D012851	C10.228.140.300.525.425.500	Sinus Thrombosis, Intracranial
D012852	C08.460.692.752	Sinusitis
D012857	C16.131.810	Situs Inversus
D012859	C05.550.114.154.774	Sjogren's Syndrome
D012868	C16.131.831	Skin Abnormalities
D012871	C17.800	Skin Diseases
D012872	C17.800.865	Skin Diseases, Vesiculobullous
D012873	C16.320.850	Skin Diseases, Genetic
D012874	C01.539.800	Skin Diseases, Infectious
D012875	C17.800.849	Skin Diseases, Metabolic
D012876	C03.858	Skin Diseases, Parasitic
D012877	C23.888.885	Skin Manifestations
D012878	C04.588.805	Skin Neoplasms
D012883	C17.800.893	Skin Ulcer
D012887	C10.900.300.918	Skull Fractures
D012888	C04.588.149.721	Skull Neoplasms
D012891	C08.618.085.852	Sleep Apnea Syndromes
D012892	C10.886.425.175	Sleep Deprivation
D012893	C10.886	Sleep Wake Disorders
D012897	C02.839	Slow Virus Diseases
D012899	C02.256.743.826	Smallpox
D012909	C25.723.127.442	Snake Bites
D012912	C23.888.852.889	Sneezing
D012913	C23.888.852.779.850	Snoring
D012983	C04.588.839	Soft Tissue Neoplasms
D013005	C04.557.465.625.650.240.695	Somatostatinoma
D013009	C10.886.659.635.700	Somnambulism
D013031	C03.335.190.304.780	Sparganosis
D013035	C10.597.613.750	Spasm
D013036	C10.228.140.490.375.760	Spasms, Infantile
D013064	C10.597.606.150.500.800	Speech Disorders
D013086	C12.294.693	Spermatic Cord Torsion
D013088	C12.294.731	Spermatocele
D013103	C15.378.071.141.150.785	Spherocytosis, Hereditary
D013106	C10.228.140.163.100.435.825	Sphingolipidoses
D013117	C10.228.854.761	Spinal Cord Compression
D013118	C10.228.854	Spinal Cord Diseases
D013119	C10.228.854.770	Spinal Cord Injuries
D013120	C04.588.614.250.803	Spinal Cord Neoplasms
D013121	C05.116.900.800	Spinal Curvatures
D013122	C05.116.900	Spinal Diseases
D013124	C26.117.500	Spinal Injuries
D013125	C04.588.149.828	Spinal Neoplasms
D013128	C05.116.900.815	Spinal Osteophytosis
D013130	C05.116.900.825	Spinal Stenosis
D013132	C10.228.140.252.700	Spinocerebellar Degenerations
D013145	C01.252.847	Spirochaetales Infections
D013158	C15.604.744	Splenic Diseases
D013159	C14.907.795	Splenic Infarction
D013160	C04.588.842	Splenic Neoplasms
D013161	C15.604.744.742	Splenic Rupture
D013163	C23.300.775.750	Splenomegaly
D013166	C01.539.160.762	Spondylitis
D013167	C05.116.900.853.625.800.850	Spondylitis, Ankylosing
D013168	C05.116.900.938.500.500	Spondylolisthesis
D013169	C05.116.900.938.500	Spondylolysis
D013174	C01.539.800.200.675	Sporotrichosis
D013180	C26.844	Sprains and Strains
D013182	C06.405.469.637.850	Sprue, Tropical
D013202	C01.252.410.868.806	Staphylococcal Food Poisoning
D013203	C01.252.410.868	Staphylococcal Infections
D013206	C01.252.410.868.820.770	Staphylococcal Scalded Skin Syndrome
D013207	C01.252.410.868.820	Staphylococcal Skin Infections
D013217	C18.654.521.750	Starvation
D013224	C08.127.108.880	Status Asthmaticus
D013226	C10.597.742.785	Status Epilepticus
D013231	C18.654.521.500.133.841.682	Steatitis
D013262	C07.465.864.500	Stevens-Johnson Syndrome
D013271	C06.405.748.300	Gastric Dilatation
D013272	C06.405.748	Stomach Diseases
D013273	C01.539.463.199.750.687	Diverticulum, Stomach
D013274	C04.588.274.476.767	Stomach Neoplasms
D013275	C06.405.748.824	Stomach Rupture
D013276	C06.405.469.275.800.849	Stomach Ulcer
D013277	C06.405.748.895	Stomach Volvulus
D013280	C07.465.864	Stomatitis
D013281	C07.465.864.750	Stomatitis, Aphthous
D013282	C07.465.864.875	Stomatitis, Denture
D013283	C02.256.466.382.834	Stomatitis, Herpetic
D013285	C10.292.562.887	Strabismus
D013290	C01.252.410.890	Streptococcal Infections
D013319	C03.335.349.840	Strongyle Infections, Equine
D013322	C03.335.508.700.700.799	Strongyloidiasis
D013330	C04.557.465.910.850	Struma Ovarii
D013341	C04.557.645.375.850	Sturge-Weber Syndrome
D013342	C10.597.606.150.500.800.750	Stuttering
D013344	C02.182.525.600	Subacute Sclerosing Panencephalitis
D013345	C10.228.140.300.535.800	Subarachnoid Hemorrhage
D013349	C10.228.140.300.150.956.700	Subclavian Steal Syndrome
D013352	C23.550.325.500	Subcutaneous Emphysema
D013353	C10.228.140.870	Subdural Effusion
D013354	C01.539.830.305.330	Empyema, Subdural
D013362	C04.588.443.591.824.882	Sublingual Gland Neoplasms
D013364	C07.465.815.882	Submandibular Gland Diseases
D013365	C04.588.443.591.824.885	Submandibular Gland Neoplasms
D013369	C01.539.463.600.500	Subphrenic Abscess
D013375	C25.775.835	Substance Withdrawal Syndrome
D013398	C23.550.260.322.625	Sudden Infant Death
D013436	C15.378.896	Sulfhemoglobinemia
D013471	C17.800.600.725	Sunburn
D013474	C26.522.500.500	Sunstroke
D013478	C06.405.469.275.395.890	Superior Mesenteric Artery Syndrome
D013479	C14.907.800	Superior Vena Cava Syndrome
D013492	C01.539.830	Suppuration
D013494	C10.228.140.079.882	Supranuclear Palsy, Progressive
D013529	C23.550.767.887	Surgical Wound Dehiscence
D013530	C01.539.947.692	Surgical Wound Infection
D013540	C18.654.521.500.857	Swayback
D013543	C17.800.946	Sweat Gland Diseases
D013544	C04.588.805.776	Sweat Gland Neoplasms
D013547	C10.177.825	Sweating, Gustatory
D013553	C22.905	Swine Diseases
D013554	C01.252.410.334.776	Swine Erysipelas
D013555	C02.782.687.359.855	Swine Vesicular Disease
D013568	C23	Pathological Conditions, Signs and Symptoms
D013575	C10.597.606.358.800.600	Syncope
D013576	C05.116.099.370.894.819	Syndactyly
D013577	C23.550.288.500	Syndrome
D013580	C05.116.099.370.894	Synostosis
D013581	C04.182.867	Synovial Cyst
D013584	C04.557.450.565.835	Sarcoma, Synovial
D013585	C05.550.870	Synovitis
D013586	C04.557.450.565.380.690.500	Synovitis, Pigmented Villonodular
D013587	C01.252.400.840.744	Syphilis
D013589	C01.252.400.840.744.657	Syphilis, Cardiovascular
D013590	C01.252.400.840.744.725	Syphilis, Congenital
D013591	C01.252.400.840.744.800	Syphilis, Cutaneous
D013592	C01.252.400.840.744.871	Syphilis, Latent
D013595	C10.228.854.833	Syringomyelia
D013606	C01.252.400.840.744.456.778	Tabes Dorsalis
D013610	C14.280.067.845	Tachycardia
D013611	C14.280.067.845.787.249	Tachycardia, Atrioventricular Nodal Reentry
D013612	C14.280.067.845.880.315	Tachycardia, Ectopic Atrial
D013613	C14.280.067.845.880.320	Tachycardia, Ectopic Junctional
D013614	C14.280.067.845.695	Tachycardia, Paroxysmal
D013615	C14.280.067.845.787.500	Tachycardia, Sinoatrial Nodal Reentry
D013616	C14.280.067.845.880.845	Tachycardia, Sinus
D013617	C14.280.067.845.880	Tachycardia, Supraventricular
D013622	C03.335.190.902	Taeniasis
D013625	C14.907.109.239.650	Takayasu Arteritis
D013631	C10.668.829.800.875	Tangier Disease
D013641	C10.668.829.500.700.800	Tarsal Tunnel Syndrome
D013651	C10.597.751.861	Taste Disorders
D013661	C10.228.140.163.100.435.825.300.300.500	Tay-Sachs Disease
D013683	C14.907.454.900	Telangiectasia, Hereditary Hemorrhagic
D013684	C14.907.823	Telangiectasis
D013700	C10.114.875.700	Giant Cell Arteritis
D013705	C05.500.607.221.897	Temporomandibular Joint Disorders
D013706	C05.500.607.221.897.897	Temporomandibular Joint Dysfunction Syndrome
D013708	C26.874	Tendon Injuries
D013716	C05.651.869.435.500	Tennis Elbow
D013717	C05.651.869.870	Tenosynovitis
D013724	C04.557.465.910	Teratoma
D013733	C12.294.829	Testicular Diseases
D013734	C12.706.316.096.500	Androgen-Insensitivity Syndrome
D013736	C04.588.322.762	Testicular Neoplasms
D013742	C01.252.410.222.864	Tetanus
D013746	C10.597.613.875	Tetany
D013771	C14.240.400.849	Tetralogy of Fallot
D013786	C10.228.140.915	Thalamic Diseases
D013789	C15.378.071.141.150.875	Thalassemia
D013796	C05.116.099.343.110.500	Thanatophoric Dysplasia
D013798	C04.557.475.750.875	Thecoma
D013801	C03.701.688.735	Theileriasis
D013832	C18.654.521.500.133.699.827	Thiamine Deficiency
D013851	C23.888.144.828	Thinness
D013896	C08.846	Thoracic Diseases
D013898	C26.891	Thoracic Injuries
D013899	C04.588.894	Thoracic Neoplasms
D013901	C10.668.829.550.850	Thoracic Outlet Syndrome
D013915	C15.378.100.100.820	Thrombasthenia
D013919	C14.907.137.870	Thromboangiitis Obliterans
D013920	C15.378.100.832	Thrombocythemia, Essential
D013921	C15.378.140.855	Thrombocytopenia
D013922	C15.378.140.860	Thrombocytosis
D013923	C14.907.355.590	Thromboembolism
D013924	C14.907.355.830.925.770	Thrombophlebitis
D013927	C14.907.355.830	Thrombosis
D013945	C04.557.435.850	Thymoma
D013952	C15.604.816	Thymus Hyperplasia
D013953	C04.588.894.949	Thymus Neoplasms
D013955	C04.182.902	Thyroglossal Cyst
D013958	C19.874.397.685.905	Thyroid Crisis
D013959	C19.874	Thyroid Diseases
D013964	C04.588.322.894	Thyroid Neoplasms
D013966	C19.874.871	Thyroiditis
D013967	C19.874.871.102	Thyroiditis, Autoimmune
D013968	C19.874.871.900	Thyroiditis, Subacute
D013969	C01.539.830.840	Thyroiditis, Suppurative
D013971	C19.874.397.685	Thyrotoxicosis
D013978	C26.404.875	Tibial Fractures
D013981	C10.228.662.825	Tic Disorders
D013984	C03.858.211.857	Tick Infestations
D013985	C25.723.127.789.500.707	Tick Paralysis
D013986	C25.723.127.789.500	Tick Toxicoses
D013991	C05.182.790	Tietze's Syndrome
D014005	C01.539.800.200.720	Tinea
D014006	C01.539.800.200.720.730	Tinea Capitis
D014007	C01.539.800.200.720.730.740	Tinea Favosa
D014008	C01.539.800.200.720.760	Tinea Pedis
D014009	C01.539.800.200.720.550	Onychomycosis
D014010	C01.539.800.200.860	Tinea Versicolor
D014012	C09.218.458.670	Tinnitus
D014029	C25.775.912	Tobacco Use Disorder
D014036	C02.782.930	Togaviridae Infections
D014060	C07.465.910	Tongue Diseases
D014062	C04.588.443.591.925	Tongue Neoplasms
D014063	C07.465.910.708	Tongue, Fissured
D014064	C07.465.910.791	Tongue, Hairy
D014067	C04.588.443.665.710.684.800	Tonsillar Neoplasms
D014069	C07.550.781.750	Tonsillitis
D014071	C07.650.800	Tooth Abnormalities
D014072	C07.793.818.124	Tooth Abrasion
D014075	C07.793.735	Tooth Discoloration
D014076	C07.793	Tooth Diseases
D014077	C07.793.818.500	Tooth Erosion
D014079	C07.793.790	Tooth Eruption, Ectopic
D014082	C07.793.850.750	Tooth Fractures
D014084	C07.793.850.725	Tooth Avulsion
D014085	C07.465.714.836	Tooth Migration
D014086	C07.465.714.898	Tooth Mobility
D014091	C07.793.901	Tooth Resorption
D014095	C07.793.846	Tooth, Impacted
D014096	C07.650.800.850	Tooth, Supernumerary
D014097	C07.793.915	Tooth, Unerupted
D014098	C07.793.929	Toothache
D014102	C23.300.970	Torsion Abnormality
D014103	C10.228.662.300.750	Torticollis
D014115	C01.539.861	Toxemia
D014120	C03.335.349.868	Toxocariasis
D014123	C03.752.250.800	Toxoplasmosis
D014124	C03.701.688.817	Toxoplasmosis, Animal
D014125	C03.752.250.800.445	Toxoplasmosis, Congenital
D014126	C03.300.781	Toxoplasmosis, Ocular
D014133	C08.907	Tracheal Diseases
D014134	C04.588.443.925	Tracheal Neoplasms
D014135	C08.907.663	Tracheal Stenosis
D014136	C08.730.848	Tracheitis
D014137	C08.127.930	Tracheobronchomegaly
D014138	C06.267.250.725	Tracheoesophageal Fistula
D014141	C01.252.354.225.800	Trachoma
D014178	C23.550.210.870	Translocation, Genetic
D014188	C14.240.400.915	Transposition of Great Vessels
D014201	C03.335.865	Trematode Infections
D014202	C10.597.350.850	Tremor
D014205	C01.252.400.126.100.800	Trench Fever
D014211	C01.252.400.840	Treponemal Infections
D014235	C03.335.508.100.275.882	Trichinellosis
D014245	C03.752.890	Trichomonas Infections
D014247	C03.752.890.633	Trichomonas Vaginitis
D014252	C03.335.508.700.775.825	Trichostrongyloidiasis
D014253	C03.335.508.700.775.825.842	Trichostrongylosis
D014257	C03.335.508.100.275.895	Trichuriasis
D014262	C14.280.484.856	Tricuspid Valve Insufficiency
D014263	C14.280.484.400.875	Tricuspid Valve Prolapse
D014264	C14.280.484.911	Tricuspid Valve Stenosis
D014277	C07.465.299.625.500.700	Trigeminal Neuralgia
D014286	C14.240.400.960	Trilogy of Fallot
D014313	C10.597.613.750.700	Trismus
D014314	C23.550.210.050.750	Trisomy
D014323	C03.858.211.480.869	Trombiculiasis
D014328	C04.557.465.955	Trophoblastic Neoplasms
D014339	C14.240.400.560.098.500	Truncus Arteriosus, Persistent
D014352	C03.752.300.900	Trypanosomiasis
D014353	C03.752.300.900.719	Trypanosomiasis, African
D014354	C03.701.688.896	Trypanosomiasis, Bovine
D014355	C03.752.300.900.200	Chagas Disease
D014375	C01.252.410.040.552.846.493	Tuberculoma
D014376	C01.252.410.040.552.846	Tuberculosis
D014379	C01.252.410.040.552.846.516	Tuberculosis, Avian
D014380	C01.252.410.040.552.846.538	Tuberculosis, Bovine
D014381	C01.252.410.040.552.846.561	Tuberculosis, Cardiovascular
D014382	C01.252.410.040.552.846.583	Tuberculosis, Cutaneous
D014383	C01.252.410.040.552.846.606	Tuberculosis, Endocrine
D014384	C01.252.410.040.552.846.944.596	Tuberculosis, Female Genital
D014385	C01.252.410.040.552.846.628	Tuberculosis, Gastrointestinal
D014386	C01.252.410.040.552.846.651	Tuberculosis, Hepatic
D014387	C01.252.410.040.552.846.696	Tuberculosis, Laryngeal
D014388	C01.252.410.040.552.846.719	Tuberculosis, Lymph Node
D014389	C01.252.410.040.552.846.944.721	Tuberculosis, Male Genital
D014390	C01.252.200.500.800	Tuberculosis, Meningeal
D014391	C01.252.410.040.552.846.764	Tuberculosis, Miliary
D014392	C01.252.354.800	Tuberculosis, Ocular
D014393	C01.252.410.040.552.846.809	Tuberculosis, Oral
D014394	C01.252.410.040.552.846.831	Tuberculosis, Osteoarticular
D014395	C01.252.410.040.552.846.246	Peritonitis, Tuberculous
D014396	C01.252.410.040.552.846.877	Tuberculosis, Pleural
D014397	C01.252.410.040.552.846.899	Tuberculosis, Pulmonary
D014398	C01.252.410.040.552.846.944.847	Tuberculosis, Renal
D014399	C01.252.410.040.552.846.831.722	Tuberculosis, Spinal
D014400	C01.252.410.040.552.846.922	Tuberculosis, Splenic
D014401	C01.252.410.040.552.846.944	Tuberculosis, Urogenital
D014402	C04.445.810	Tuberous Sclerosis
D014406	C01.252.400.939	Tularemia
D014412	C02.928	Tumor Virus Infections
D014424	C12.706.316.309.872	Turner Syndrome
D014428	C16.131.085.806	Twins, Conjoined
D014435	C01.252.400.310.821.873	Typhoid Fever
D014437	C01.252.400.780.790.800	Typhus, Endemic Flea-Borne
D014438	C01.252.400.780.790.805	Typhus, Epidemic Louse-Borne
D014456	C23.550.891	Ulcer
D014458	C26.088.268.807	Ulna Fractures
D014474	C10.597.606.358.800	Unconsciousness
D014496	C04.182.946	Urachal Cyst
D014511	C12.777.419.936	Uremia
D014514	C12.777.725.938.500	Ureteral Calculi
D014515	C12.777.725	Ureteral Diseases
D014516	C04.588.945.947.940	Ureteral Neoplasms
D014517	C12.777.725.776	Ureteral Obstruction
D014518	C12.777.725.876	Ureterocele
D014522	C12.777.767	Urethral Diseases
D014523	C04.588.945.947.945	Urethral Neoplasms
D014524	C12.777.767.700	Urethral Obstruction
D014525	C12.777.767.700.700	Urethral Stricture
D014526	C12.777.767.851	Urethritis
D014545	C12.777.967.500	Urinary Calculi
D014548	C12.706.881	Urinary Fistula
D014549	C12.777.934.852	Urinary Incontinence
D014550	C12.777.934.852.249	Urinary Incontinence, Stress
D014552	C01.539.895	Urinary Tract Infections
D014555	C12.777.934	Urination Disorders
D014564	C12.706	Urogenital Abnormalities
D014565	C04.588.945	Urogenital Neoplasms
D014570	C12.777	Urologic Diseases
D014571	C04.588.945.947	Urologic Neoplasms
D014581	C17.800.862.945	Urticaria
D014582	C04.557.450.565.465.500.850	Urticaria Pigmentosa
D014591	C13.351.500.852	Uterine Diseases
D014592	C13.351.500.852.691	Uterine Hemorrhage
D014593	C13.703.420.288.728	Uterine Inertia
D014594	C04.588.945.418.948	Uterine Neoplasms
D014595	C13.351.500.852.904.500	Uterine Perforation
D014596	C13.351.500.852.833	Uterine Prolapse
D014597	C13.351.500.852.904	Uterine Rupture
D014603	C11.941	Uveal Diseases
D014604	C04.588.364.978	Uveal Neoplasms
D014605	C11.941.879	Uveitis
D014606	C11.941.879.780.880	Uveitis, Anterior
D014607	C10.114.843	Uveomeningoencephalitic Syndrome
D014608	C15.604.515.827.865	Uveoparotid Fever
D014615	C02.256.743.929	Vaccinia
D014623	C13.351.500.894	Vaginal Diseases
D014624	C13.351.500.894.767	Vaginal Fistula
D014625	C04.588.945.418.955	Vaginal Neoplasms
D014627	C13.351.500.894.906	Vaginitis
D014646	C12.294.936	Varicocele
D014647	C14.907.927.730	Varicose Ulcer
D014648	C14.907.927	Varicose Veins
D014652	C14.907	Vascular Diseases
D014653	C10.228.140.300.800	Vascular Headaches
D014657	C14.907.940	Vasculitis
D014681	C07.465.525.955	Velopharyngeal Insufficiency
D014685	C04.588.945.956	Venereal Tumors, Veterinary
D014689	C14.907.952	Venous Insufficiency
D014693	C14.280.067.922	Ventricular Fibrillation
D014694	C14.280.955	Ventricular Outflow Obstruction
D014715	C10.228.140.300.150.956	Vertebrobasilar Insufficiency
D014717	C09.218.568.900.883	Vertigo
D014718	C12.777.829.920	Vesico-Ureteral Reflux
D014719	C13.351.500.894.767.500	Vesicovaginal Fistula
D014720	C02.782.160.927	Vesicular Exanthema of Swine
D014735	C01.252.400.959	Vibrio Infections
D014766	C02.937	Viremia
D014770	C23.888.971	Virilism
D014777	C02	Virus Diseases
D014782	C06.405.937	Visceral Prolapse
D014786	C10.597.751.941	Vision Disorders
D014802	C18.654.521.500.133.628	Vitamin A Deficiency
D014804	C18.654.521.500.133.699	Vitamin B Deficiency
D014806	C18.654.521.500.133.699.923	Vitamin B 12 Deficiency
D014808	C18.654.521.500.133.770	Vitamin D Deficiency
D014811	C18.654.521.500.133.841	Vitamin E Deficiency
D014813	C15.378.100.920	Vitamin K Deficiency
D014820	C17.800.621.440.895	Vitiligo
D014823	C11.290.960	Vitreous Hemorrhage
D014826	C08.360.931	Vocal Cord Paralysis
D014832	C08.360.940	Voice Disorders
D014839	C23.888.821.937	Vomiting
D014840	C23.888.821.937.080	Vomiting, Anticipatory
D014842	C15.378.100.100.900	von Willebrand Diseases
D014845	C13.351.500.944	Vulvar Diseases
D014846	C04.588.945.418.968	Vulvar Neoplasms
D014847	C13.351.500.944.902	Vulvitis
D014848	C13.351.500.894.906.820	Vulvovaginitis
D014849	C16.131.077.938	Waardenburg Syndrome
D014854	C10.228.140.300.150.477.100.500	Lateral Medullary Syndrome
D014855	C23.550.737.750	Wallerian Degeneration
D014860	C02.256.650.810	Warts
D014869	C18.452.950.932	Water Intoxication
D014883	C18.452.950	Water-Electrolyte Imbalance
D014884	C01.252.200.500.550.800	Waterhouse-Friderichsen Syndrome
D014890	C08.381.483.950	Granulomatosis with Polyangiitis
D014895	C01.252.400.511.739	Weil Disease
D014897	C10.228.854.468.800	Spinal Muscular Atrophies of Childhood
D014898	C16.320.925	Werner Syndrome
D014899	C10.228.140.163.960	Wernicke Encephalopathy
D014901	C02.081.343.950	West Nile Fever
D014911	C26.700.500	Whiplash Injuries
D014912	C22.595.740	White Muscle Disease
D014917	C01.252.400.143.740	Whooping Cough
D014923	C15.378.100.100.970	Wiskott-Aldrich Syndrome
D014924	C05.550.114.843.823	Wissler's Syndrome
D014927	C14.280.067.780.977	Wolff-Parkinson-White Syndrome
D014929	C09.218.458.341.186.500.750	Wolfram Syndrome
D014946	C01.539.947	Wound Infection
D014947	C26	Wounds and Injuries
D014948	C26.986.900	Wounds, Gunshot
D014949	C26.974	Wounds, Nonpenetrating
D014950	C26.986	Wounds, Penetrating
D014951	C26.986.950	Wounds, Stab
D014954	C26.088.906	Wrist Injuries
D014972	C15.604.250.410.900	Xanthogranuloma, Juvenile
D014973	C18.452.584.750	Xanthomatosis
D014983	C04.834.867	Xeroderma Pigmentosum
D014985	C11.187.810	Xerophthalmia
D014987	C07.465.815.929	Xerostomia
D014997	C23.550.210.024.500	XYY Karyotype
D015001	C01.252.400.840.892	Yaws
D015004	C02.081.980	Yellow Fever
D015009	C01.252.400.310.980	Yersinia Infections
D015012	C01.252.400.310.980.780	Yersinia pseudotuberculosis Infections
D015043	C04.730.713.988	Zollinger-Ellison Syndrome
D015047	C01.908	Zoonoses
D015051	C10.900.300.284.500.950	Zygomatic Fractures
D015140	C10.228.140.300.400	Dementia, Vascular
D015154	C06.405.117.119.500	Esophageal Motility Disorders
D015155	C06.405.117.119.500.450	Esophageal Spasm, Diffuse
D015160	C13.703.277.060.480	Hydrops Fetalis
D015161	C10.228.140.300.150.477.200.199	Dementia, Multi-Infarct
D015163	C01.539.597.880	Superinfection
D015168	C26.324.550	Lightning Injuries
D015173	C04.588.614.250.195.885	Supratentorial Neoplasms
D015174	C04.588.614.250.803.342	Epidural Neoplasms
D015175	C04.557.470.035.625	Prolactinoma
D015179	C04.588.274.476.411.307	Colorectal Neoplasms
D015192	C04.588.614.250.195.411	Infratentorial Neoplasms
D015207	C05.550.114.606.400	Osteoarthritis, Hip
D015208	C26.200.322.800	Smoke Inhalation Injury
D015209	C06.130.120.200.110	Cholangitis, Sclerosing
D015210	C05.550.114.423.410	Arthritis, Gouty
D015211	C06.552.970	Zellweger Syndrome
D015212	C06.405.205.731	Inflammatory Bowel Diseases
D015217	C16.320.565.398.641.201	Cholesterol Ester Storage Disease
D015218	C05.116.540.600	Hyperostosis, Sternocostoclavicular
D015223	C16.320.565.398.641.201.500	Wolman Disease
D015228	C18.452.584.500.500.851	Hypertriglyceridemia
D015229	C02.800.801	Sexually Transmitted Diseases, Viral
D015231	C01.252.810	Sexually Transmitted Diseases, Bacterial
D015266	C02.256.721.150	Carcinoma, Merkel Cell
D015267	C14.907.940.897.249.249	Churg-Strauss Syndrome
D015270	C01.252.410.040.552.475.495	Mycobacterium avium-intracellulare Infection
D015275	C15.604.515.880	Tumor Lysis Syndrome
D015299	C01.539.160.762.301	Discitis
D015318	C16.320.565.202.251	Fructose Metabolism, Inborn Errors
D015319	C16.320.565.202.251.221	Fructose-1,6-Diphosphatase Deficiency
D015323	C16.320.565.202.810	Pyruvate Metabolism, Inborn Errors
D015324	C10.228.140.163.100.725	Pyruvate Carboxylase Deficiency Disease
D015325	C10.228.140.163.100.750	Pyruvate Dehydrogenase Complex Deficiency Disease
D015352	C11.496.260	Dry Eye Syndromes
D015354	C10.597.751.941.905	Vision, Low
D015355	C11.525.381.348	Glaucoma, Neovascular
D015356	C11.768.400	Retinal Artery Occlusion
D015362	C18.654.180	Child Nutrition Disorders
D015408	C04.557.470.200.025.290.500	Gastrinoma
D015417	C10.500.300	Hereditary Sensory and Motor Neuropathy
D015418	C10.292.700.225.500	Optic Atrophies, Hereditary
D015419	C10.500.300.820	Spastic Paraplegia, Hereditary
D015422	C11.790	Scleral Diseases
D015423	C11.790.500	Scleritis
