id	treenum	term
D001836	C23.888.144.243	Body Weight Changes
D001845	C04.182.089	Bone Cysts
D001847	C05.116	Bone Diseases
D001848	C05.116.099	Bone Diseases, Developmental
D001849	C05.116.132	Bone Diseases, Endocrine
D001850	C01.539.160	Bone Diseases, Infectious
D001851	C05.116.198	Bone Diseases, Metabolic
D001855	C15.378.190	Bone Marrow Diseases
D001859	C04.588.149	Bone Neoplasms
D001862	C05.116.264	Bone Resorption
D001882	C02.782.350.675.100	Border Disease
D001885	C01.252.400.143	Bordetella Infections
D001890	C02.782.580.124	Borna Disease
D001899	C01.252.400.155	Borrelia Infections
D001906	C01.252.410.222.151	Botulism
D001907	C01.252.400.780.790.750.250	Boutonneuse Fever
D001912	C02.782.350.675.106	Bovine Virus Diarrhea-Mucosal Disease
D001913	C04.557.470.200.400.130	Bowen's Disease
D001919	C14.280.067.319	Bradycardia
D001922	C01.395.250	Brain Abscess
D001924	C10.228.140.199.444.250	Brain Concussion
D001925	C10.228.140.140	Brain Damage, Chronic
D001926	C10.228.140.151	Brain Death
D001927	C10.228.140	Brain Diseases
D001928	C10.228.140.163	Brain Diseases, Metabolic
D001929	C10.228.140.187	Brain Edema
D001930	C10.228.140.199	Brain Injuries
D001932	C04.588.614.250.195	Brain Neoplasms
D001935	C04.182.117	Branchioma
D001941	C17.800.090	Breast Diseases
D001943	C04.588.180	Breast Neoplasms
D001946	C13.703.420.183	Breech Presentation
D001948	C04.557.450.565.590.595.150	Brenner Tumor
D001982	C08.127	Bronchial Diseases
D001983	C08.127.196	Bronchial Fistula
D001984	C04.588.894.797.520.109	Bronchial Neoplasms
D001986	C08.127.321	Bronchial Spasm
D001987	C08.127.384	Bronchiectasis
D001988	C08.127.446.135	Bronchiolitis
D001989	C08.127.446.135.140	Bronchiolitis Obliterans
D001990	C02.109	Bronchiolitis, Viral
D001991	C08.127.446	Bronchitis
D001994	C04.182.195	Bronchogenic Cyst
D001996	C08.127.509	Bronchopneumonia
D001997	C08.381.520.750.500	Bronchopulmonary Dysplasia
D001998	C08.695.214	Bronchopulmonary Sequestration
D002006	C01.252.400.167	Brucellosis
D002007	C01.252.400.167.322	Brucellosis, Bovine
D002012	C07.793.099	Bruxism
D002032	C23.888.821.645.500	Bulimia
D002037	C14.280.067.558.323	Bundle-Branch Block
D002044	C02.782.147	Bunyaviridae Infections
D002051	C02.256.466.313.165	Burkitt Lymphoma
D002054	C07.465.114	Burning Mouth Syndrome
D002055	C24.580.500	Burnout, Professional
D002056	C26.200	Burns
D002057	C26.200.156	Burns, Chemical
D002058	C26.200.239	Burns, Electric
D002059	C26.200.322	Burns, Inhalation
D002062	C05.550.251	Bursitis
D002095	C08.381.483.581.275	Byssinosis
D002100	C23.888.144.243.963.500.500	Cachexia
D002102	C23.550.260.224	Cadaver
D002105	C25.723.522.625	Cadmium Poisoning
D002114	C18.452.174.130	Calcinosis
D002115	C18.452.174.130.186	Calciphylaxis
D002128	C18.452.174	Calcium Metabolism Disorders
D002137	C23.300.175	Calculi
D002145	C17.800.428.200	Callosities
D002169	C01.252.400.177	Campylobacter Infections
D002177	C01.703.160	Candidiasis
D002178	C01.539.800.200.100	Candidiasis, Chronic Mucocutaneous
D002179	C01.539.800.200.105	Candidiasis, Cutaneous
D002180	C01.703.160.180	Candidiasis, Oral
D002181	C01.703.160.190	Candidiasis, Vulvovaginal
D002189	C25.775.635	Marijuana Abuse
D002205	C05.550.114.154.219	Caplan Syndrome
D002239	C16.320.565.202	Carbohydrate Metabolism, Inborn Errors
D002249	C25.723.455.245	Carbon Monoxide Poisoning
D002252	C25.723.177	Carbon Tetrachloride Poisoning
D002270	C01.252.410.868.820.270.200	Carbuncle
D002275	C04.557.465.625.650.200.500.205	Carcinoid Heart Disease
D002276	C04.557.465.625.650.200	Carcinoid Tumor
D002277	C04.557.470.200	Carcinoma
D002278	C04.557.470.200.240	Carcinoma in Situ
D002279	C04.557.435.290.210	Carcinoma 256, Walker
D002280	C04.557.470.200.165	Carcinoma, Basal Cell
D002281	C04.557.470.200.170	Carcinoma, Basosquamous
D002282	C04.557.470.200.025.030	Adenocarcinoma, Bronchiolo-Alveolar
D002283	C04.588.894.797.520.109.220	Carcinoma, Bronchogenic
D002284	C04.619.124	Carcinoma, Brown-Pearce
D002285	C04.557.470.200.025.275	Carcinoma, Intraductal, Noninfiltrating
D002286	C04.557.470.200.200	Carcinoma, Ehrlich Tumor
D002287	C04.557.470.200.255	Carcinoma, Krebs 2
D002288	C04.557.470.200.025.075	Adenocarcinoma, Mucinous
D002289	C04.588.894.797.520.109.220.249	Carcinoma, Non-Small-Cell Lung
D002291	C04.557.470.200.360	Carcinoma, Papillary
D002292	C04.557.470.200.025.390	Carcinoma, Renal Cell
D002293	C04.557.470.200.025.095	Adenocarcinoma, Scirrhous
D002294	C04.557.470.200.400	Carcinoma, Squamous Cell
D002295	C04.557.470.200.430	Carcinoma, Transitional Cell
D002296	C04.557.435.290	Carcinosarcoma
D002303	C14.280.148	Cardiac Output, Low
D002305	C14.280.155	Cardiac Tamponade
D002310	C14.280.238.057	Cardiomyopathy, Alcoholic
D002311	C14.280.195.160	Cardiomyopathy, Dilated
D002312	C14.280.238.100	Cardiomyopathy, Hypertrophic
